,Unnamed: 0,Unnamed: 0.1,date,text
232,338,53130,2018-11-21 23:30:25,Best partner with best do 
233,340,53132,2018-11-21 23:30:21,I...What... 
234,341,53133,2018-11-21 23:30:21,PLEASE APPRECIATE HIM 
235,343,53135,2018-11-21 23:30:19,defeated Brock but killed Onyx with Leach Seed 
236,344,53136,2018-11-21 23:30:15,"So its been almost a week since was released, and now I can confiedently say that I really love these games. I was sceptical when they were first announced, but Im actually really loving some of the new mechanics, especially wild Pokmon being in the overworld.'"
238,346,53138,2018-11-21 23:29:59,PONY TIME 
239,347,53139,2018-11-21 23:29:58,this is always my fav part 
240,349,53141,2018-11-21 23:29:53,"No for today's stream, but at 4pm pst I'm willing to do something dumb.... "
241,352,53144,2018-11-21 23:29:26,my character with khangaskhan  
242,353,53145,2018-11-21 23:29:21,big mood 
243,354,53146,2018-11-21 23:29:17,this is taking forever! do i give up? or carry on?! 
244,355,53147,2018-11-21 23:29:08, Sporting those formals 
245,361,53153,2018-11-21 23:28:52,Hello 
246,363,53155,2018-11-21 23:28:41,Grinding that xp 
247,364,53156,2018-11-21 23:28:40,Loving this set! 
248,366,53158,2018-11-21 23:28:26,my team! Pete and Charlotte are shiny and I love them all 
249,367,53159,2018-11-21 23:28:23,"cutting edge, huh? "
250,368,53160,2018-11-21 23:28:21,The Silph Co building can burn in hell. 
251,370,53162,2018-11-21 23:28:02,wait what 
252,374,53166,2018-11-21 23:27:51,Ready for the four 
254,376,53168,2018-11-21 23:27:44,I'm stoked that clothing customization made it out of Gen 6 
255,377,53169,2018-11-21 23:27:36,"Here's your dose of adorableness today, folks "
257,382,53174,2018-11-21 23:27:09,My chu. 
258,383,53175,2018-11-21 23:27:07,First shiny!!! :D 
259,385,53177,2018-11-21 23:27:01,Going live to hunt shiny Ryhorn in Let's Go Pikachu! Come say hiii! 
260,386,53178,2018-11-21 23:26:59,3rd down! 
261,387,53179,2018-11-21 23:26:53,More and actually make progress and not fall asleep on fast sound good? Yyyesss?Early stream'
263,389,53181,2018-11-21 23:26:45,yeaaaa boyyyyyyyyyyyyy 
264,391,53183,2018-11-21 23:26:22,My first shiny!
265,392,53184,2018-11-21 23:26:21,"Why is Gary (Rival) in Pokemon Lets Go such a nice guy? Bring back the arse hole rival, smell ya later! "
266,393,53185,2018-11-21 23:26:18,Ready. 
268,395,53187,2018-11-21 23:26:12,Uhh... all we did was go for a walk. 
269,396,53188,2018-11-21 23:26:08,petting the pika :3
270,398,53190,2018-11-21 23:26:07,Mood 
271,399,53191,2018-11-21 23:26:06,What a grudge match! 
273,401,53193,2018-11-21 23:26:05,I'm ready ... just waiting for ...its back ordered  
274,402,53194,2018-11-21 23:25:53,What the hell is this?? Hahaha 
275,404,53196,2018-11-21 23:25:29,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA HERE SHE IS 
276,405,53197,2018-11-21 23:25:27,I high-fived ^_^ 
277,410,53202,2018-11-21 23:24:42,When a Shiny Grimer pops out of nowhere 
278,411,53203,2018-11-21 23:24:40,We're looking good here in Add me on SW-1730-2837-0316 
279,417,53209,2018-11-21 23:24:20,So this happened. Full odds 
280,420,53212,2018-11-21 23:24:17,Going live af with  
281,421,53213,2018-11-21 23:24:12,Swag. 
283,423,53215,2018-11-21 23:24:05,Hunting for Staryu and got this 
285,425,53217,2018-11-21 23:23:45,Halfway there... 
286,426,53218,2018-11-21 23:23:45,gym 2 down. 
288,429,53221,2018-11-21 23:23:25,Today is Eevee Day! Twitter adds the Eevee emoji free of charge 
289,432,53224,2018-11-21 23:23:11,my best friend :') 
290,433,53225,2018-11-21 23:22:52,I've at least solved it for these variables. There's others but I've not encountered them. Values are consistent across the set. Helped = 40xp (X)Worked Hard = 20xp (Y)Called Out = 250xp (Z)Answered = 1500xp (A)
291,435,53227,2018-11-21 23:22:36,Experienced a few instances of the documented motion control issues whilst playing this evening. I throw the pokeball head on and it flies off to the extreme left/right. I hope that this is corrected along with pro controller support in a patch update soon...'
292,436,53228,2018-11-21 23:22:30,About to again today. Whos down to watch? Debating between and Any preference? Gotta do challenges in Fortnite and also hunt in Lets Go. And Spyro I just have a blast on. Lets get this payload rolling! '
294,438,53230,2018-11-21 23:22:26,Mordred and Gwen 
295,441,53233,2018-11-21 23:21:42,i gotta prepare for troubleoh waitmake that double
296,442,53234,2018-11-21 23:21:38,Everyones bringing out the shinies.. wheres my shiny... 
297,444,53236,2018-11-21 23:21:21,fuk u 
298,445,53237,2018-11-21 23:21:19,Currently trying to catch a shiny Pikachu... 
299,446,53238,2018-11-21 23:21:18,This is still keeping me busy until Smash Ultimate comes out How far into the game are you?
